gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_logins,avg_session_mins,login_days_active,days_since_last_login,total_tickets,avg_resolution_hours,max_resolution_hours,billing_tickets,technical_tickets,billing_ticket_ratio,total_bills,total_late_payments,late_payment_rate,avg_payment_gap,max_payment_gap,avg_amount_due,avg_monthly_spend,charge_vs_tier_avg,logins_per_active_day,num_services,risk_score,contract_encoded,internet_service_Fiber Optic,internet_service_No,payment_method_Credit Card (Automatic),payment_method_Electronic Check,payment_method_Mailed Check
0,0,1,0,-1.2775701207287122,0,0,0,1,0,0,0,0,1,-1.1624658149175562,-0.6012836317144402,-0.6109498906722061,-0.6583884328707629,0.6107758342128587,-0.41704544982200914,-0.2957405804912776,-0.29668962199683335,-0.2888028605510629,-0.2247633091830392,-0.2922555300682219,3,0,-0.5402629258734993,-0.4351747181619799,-0.4862752312688278,0.9536007864654027,-0.9313175033625847,-2.246299686431622,-0.6498631691794722,1,2,0,0,0,0,1,0
1,0,0,0,0.07044606777213262,1,0,1,0,1,0,0,0,0,-0.260156133635633,-0.6012836317144402,-0.6109498906722061,-0.6583884328707629,0.6107758342128587,-0.41704544982200914,-0.2957405804912776,-0.29668962199683335,-0.2888028605510629,-0.2247633091830392,-0.2922555300682219,1,0,-0.5402629258734993,-0.4351747181619799,-0.4862752312688278,0.061213524749890336,-0.2744385031355366,-0.0884485254840399,-0.6498631691794722,2,0,1,0,0,0,0,1
1,0,0,0,-1.2367211453195959,1,0,1,1,0,0,0,0,1,-0.36337237023983826,-0.6012836317144402,-0.6109498906722061,-0.6583884328707629,0.6107758342128587,-0.41704544982200914,-0.2957405804912776,-0.29668962199683335,-0.2888028605510629,-0.2247633091830392,-0.2922555300682219,3,1,0.6359020138847701,0.28259926574873534,0.8056249694768938,-0.096056921273862,-0.31270512223177255,-0.3352875881754607,-0.6498631691794722,2,3,0,0,0,0,0,1
1,0,0,0,0.5197847972724142,0,0,1,0,1,1,0,0,0,-0.7479360904909902,0.8150510231901759,0.6204358182414995,0.8878035420237963,-0.5853133273451341,-0.41704544982200914,-0.2957405804912776,-0.29668962199683335,-0.2888028605510629,-0.2247633091830392,-0.2922555300682219,1,0,-0.5402629258734993,-0.4351747181619799,-0.4862752312688278,-1.77791509050804,-0.6490015674721326,-1.2549621604612382,1.2160353203110579,3,0,1,0,0,0,0,0
0,0,0,0,-1.2367211453195959,1,0,0,0,0,0,0,0,1,0.1976578190443095,-0.6012836317144402,-0.6109498906722061,-0.6583884328707629,0.6107758342128587,-0.41704544982200914,-0.2957405804912776,-0.29668962199683335,-0.2888028605510629,-0.2247633091830392,-0.2922555300682219,3,0,-0.5402629258734993,-0.4351747181619799,-0.4862752312688278,-0.1602125706433246,0.24270537475873988,-1.6594597212587923,-0.6498631691794722,0,2,0,1,0,0,1,0
0,0,0,0,-0.9916272928648967,1,1,0,0,1,0,1,1,1,1.1615642866868068,-0.6012836317144402,-0.6109498906722061,-0.6583884328707629,0.6107758342128587,-0.41704544982200914,-0.2957405804912776,-0.29668962199683335,-0.2888028605510629,-0.2247633091830392,-0.2922555300682219,2,0,-0.5402629258734993,-0.4351747181619799,-0.4862752312688278,-1.403673802519508,0.9254772443350077,0.6456986222627018,-0.6498631691794722,3,2,0,1,0,0,1,0
1,0,0,1,-0.41974163713726553,1,1,0,1,0,0,1,0,1,0.8102961266305596,-0.6012836317144402,-0.6109498906722061,-0.6583884328707629,0.6107758342128587,-0.41704544982200914,-0.2957405804912776,-0.29668962199683335,-0.2888028605510629,-0.2247633091830392,-0.2922555300682219,2,0,-0.5402629258734993,-0.4351747181619799,-0.4862752312688278,0.9086027268382099,0.5691613878801225,-0.1943504459290688,-0.6498631691794722,2,1,0,1,0,1,0,0
0,0,0,0,-0.9099293420466638,0,0,1,0,0,0,0,0,0,-1.1657953709370468,1.098317954171099,2.7724837394271344,0.8878035420237963,-0.04572423190543807,-0.41704544982200914,-0.2957405804912776,-0.29668962199683335,-0.2888028605510629,-0.2247633091830392,-0.2922555300682219,1,0,-0.5402629258734993,-0.4351747181619799,-0.4862752312688278,1.1719082044587128,-0.9226352243291698,-2.254262236841022,1.5892150182091638,1,2,0,0,0,0,0,1
0,0,1,0,-0.17464778468256648,1,1,0,0,1,1,1,1,1,1.3330364216905668,2.231385678094792,2.415727132171762,0.8878035420237963,-0.09068998985874607,-0.41704544982200914,-0.2957405804912776,-0.29668962199683335,-0.2888028605510629,-0.2247633091830392,-0.2922555300682219,2,0,-0.5402629258734993,-0.4351747181619799,-0.4862752312688278,-0.4355472325206023,1.084439558990913,1.0557699683468365,3.081933809801588,4,1,0,1,0,0,1,0
1,0,0,1,1.214217379227395,1,0,1,1,0,0,0,0,0,-0.2867925817915571,-0.6012836317144402,-0.6109498906722061,-0.6583884328707629,0.6107758342128587,-0.41704544982200914,-0.2957405804912776,-0.29668962199683335,-0.2888028605510629,-0.2247633091830392,-0.2922555300682219,3,1,0.6359020138847701,0.09600812527718676,0.46821528017598596,-0.7545433779965416,-0.25697872976398145,-0.15214892875924527,-0.6498631691794722,2,1,1,0,0,0,0,0
